1.270228749647036359e+01,7.013176262786573467e-01,9.146835586879280555e+00,1.306772010577663501e+01,1.173876925936030435e-01,1.131927342734961428e+01,1.530248951714181960e+00,1.253757593951626781e+01,3.915063659157418385e-01,8.391577272049588032e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.348281110484502854e+01,1.429639223322954233e+00,1.250545453055299205e+01,1.242625905306299749e+01,1.745854972690490836e+00,9.345685266118795909e+00,1.144619953964754799e+00,9.377330225754029414e+00,1.835416213193393542e+00,1.116950982694916661e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.332175721422941983e+01,2.723691734056561398e-01,1.065817901760830466e+01,1.021292913490004750e+01,1.693374779377156969e-01,1.192258307365293746e+01,5.080338252383138631e-01,1.227657476647283374e+01,1.425055334147513619e+00,1.145677173718154229e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.340953028799858870e+01,1.428481301236077528e-01,1.254374720418293521e+01,1.029685251938726154e+01,1.242921974753484093e+00,1.234290197695679403e+01,3.044074044978217763e-02,1.282879481290409807e+01,6.479293786693403057e-01,9.378004118602262906e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000348589920689157e+01,1.679691638462930570e+00,1.026785293121156784e+01,1.056904438127810053e+01,1.688789151019540746e+00,1.170895743708101122e+01,1.200592713078763030e+00,1.179268855239603653e+01,7.073327600534700110e-01,8.436836527831591326e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.137042208203188309e+01,1.045528270266065096e+00,1.139293708792521898e+01,1.219102247383787407e+01,8.784229775017771136e-01,1.284817340285195719e+01,7.489345700618432744e-03,1.287513114759785182e+01,1.727507462063130994e+00,9.407064045055603785e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.241659306976455035e+01,1.153401787834604786e-01,1.009080635578289886e+01,1.109813626728450053e+01,1.658461167783393586e+00,1.189990043277882314e+01,1.739322365472452336e+00,1.294237144996111688e+01,5.500837337807191751e-01,1.080517513514717010e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.230652422792075029e+01,1.529445787930663103e+00,1.090364891992092389e+01,1.232352190890592070e+01,3.183066030397909696e-01,9.940659673386941009e+00,1.883446690007454905e+00,1.039432198581364908e+01,1.395927101589883534e+00,1.063078617736616494e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.183482964676760041e+01,1.457866575997732062e+00,1.128650804095391358e+01,1.263273497996004480e+01,2.303992347359193893e-01,9.428224896065291460e+00,7.867358617547191013e-01,9.635472472626732454e+00,4.985634554269424701e-01,8.969975492270538808e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.253435329084029703e+01,6.350113839904534263e-01,1.060223582375797946e+01,1.044512539495296188e+01,8.073591296699142994e-01,1.179515629081112493e+01,1.088475705097005308e+00,9.022016744518783327e+00,1.997285126677931011e+00,8.683890989799628812e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
